key,speech_date,speech_time,company_id,company_name,subject,matched_keywords,enterDate,marketKind,serialNumber,detail_json,fetched_at_tw
1150126|sii|6796|1,115/01/26,13:41:29,6796,晉弘,公告本公司114年現金增資收足股款暨增資基準日,現金增資,1150126,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""6796"", ""data"": [[1, ""115/01/26"", ""13:41:29"", ""鄭竹明"", ""總經理"", ""03-5798860"", ""公告本公司114年現金增資收足股款暨增資基準日"", ""51"", ""115/01/26"", ""1.事實發生日:115/01/26\n2.公司名稱:晉弘科技股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:\n (1)依據「發行人募集與發行有價證券處理準則」規定辦理公告。\n (2)本公司114年現金增資發行普通股2,000,000股，每股發行價格新台幣67.2元，\n    實收股款總額新台幣134,400,000元，業已全數收足，並訂定115年01月26日為\n    現金增資基準日。\n6.因應措施:無。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n 預定股款繳納憑證上市日期為115年1月29日。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""main"": ""序號"", ""sub"": []}, {""main"": ""發言日期"", ""sub"": []}, {""main"": ""發言時間"", ""sub"": []}, {""main"": ""發言人"", ""sub"": []}, {""main"": ""發言人職稱"", ""sub"": []}, {""main"": ""發言人電話"", ""sub"": []}, {""main"": ""主旨"", ""sub"": []}, {""main"": ""符合條款"", ""sub"": []}, {""main"": ""事實發生日"", ""sub"": []}, {""main"": ""說明"", ""sub"": []}], ""companyAbbreviation"": ""晉弘""}, ""datetime"": ""115/01/26 18:25:22""}",2026-01-26 18:25:15
1150121|sii|5244|1,115/01/26,14:01:23,5244,弘凱,本公司修訂「國內第一次無擔保轉換公司債發行及轉換辦法」之債權人異議期間屆滿公告(補充說明114/12/24公告),公司債,1150121,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""5244"", ""data"": [[1, ""115/01/26"", ""14:01:23"", ""曾智宏"", ""總經理"", ""(03)357-9118"", ""本公司修訂「國內第一次無擔保轉換公司債發行及轉換辦法」\r\n之債權人異議期間屆滿公告(補充說明114/12/24公告)"", ""51"", ""115/01/26"", ""1.事實發生日:115/01/26\n2.公司名稱:弘凱光電股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:本公司業經114年12月24日董事會決議通過修訂「國內第一次無擔保轉換公\n司債發行及轉換辦法」，並於公開資訊觀測站公告債權人異議期間自114年12月24日至\n115年1月25日止。\n6.因應措施:債權人聲明異議期間已依規定屆滿三十日，截至異議期間屆滿日止，尚無\n債權人提出異議，爰依公司法第248條第4項規定，報請證券主管機關核准。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""main"": ""序號"", ""sub"": []}, {""main"": ""發言日期"", ""sub"": []}, {""main"": ""發言時間"", ""sub"": []}, {""main"": ""發言人"", ""sub"": []}, {""main"": ""發言人職稱"", ""sub"": []}, {""main"": ""發言人電話"", ""sub"": []}, {""main"": ""主旨"", ""sub"": []}, {""main"": ""符合條款"", ""sub"": []}, {""main"": ""事實發生日"", ""sub"": []}, {""main"": ""說明"", ""sub"": []}], ""companyAbbreviation"": ""弘凱""}, ""datetime"": ""115/01/26 18:25:23""}",2026-01-26 18:25:15
1150126|sii|3004|1,115/01/26,14:04:14,3004,豐達科,公告本公司現金增資催繳期間屆滿暨股票發放事宜,現金增資,1150126,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""3004"", ""data"": [[1, ""115/01/26"", ""14:04:14"", ""李文正"", ""副總經理"", ""03-450-8868"", ""公告本公司現金增資催繳期間屆滿暨股票發放事宜"", ""51"", ""115/01/26"", ""1.事實發生日:115/01/26\n2.公司名稱:豐達科技股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:\n 本公司114年現金增資原股東及員工認股繳款催繳期間自114年12月23日至\n 115年01月23日下午3時30分止。。\n6.因應措施:\n (1)未於催繳期間繳納股款之原股東及員工，喪失認股之權利。\n (2)於催繳期間繳納股款之股東及員工，所認購之股數預計於115年02月06日劃撥至\n    該股東及員工之集保帳戶。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n 股東如有任何疑問，請洽詢本公司股務代理機構中國信託商業銀行代理部。\n 地址：台北市中正區重慶南路一段83號5樓，電話：(02)6636-5566。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""main"": ""序號"", ""sub"": []}, {""main"": ""發言日期"", ""sub"": []}, {""main"": ""發言時間"", ""sub"": []}, {""main"": ""發言人"", ""sub"": []}, {""main"": ""發言人職稱"", ""sub"": []}, {""main"": ""發言人電話"", ""sub"": []}, {""main"": ""主旨"", ""sub"": []}, {""main"": ""符合條款"", ""sub"": []}, {""main"": ""事實發生日"", ""sub"": []}, {""main"": ""說明"", ""sub"": []}], ""companyAbbreviation"": ""豐達科""}, ""datetime"": ""115/01/26 18:25:25""}",2026-01-26 18:25:15
1150126|sii|3715|1,115/01/26,14:33:13,3715,定穎投控,公告本公司申請延長國內第二次無擔保轉換公司債之募集期間三個月，業經金管會准予備查,公司債,1150126,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""3715"", ""data"": [[1, ""115/01/26"", ""14:33:13"", ""劉國瑾"", ""總經理"", ""03-3493300"", ""公告本公司申請延長國內第二次無擔保轉換公司債之募集\r\n期間三個月，業經金管會准予備查"", ""51"", ""115/01/26"", ""1.事實發生日:115/01/26\n2.公司名稱:定穎投資控股股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:\n(1)本公司申報發行國內第二次無擔保轉換公司債上限10,000張，每張面額100,000元，\n上限總額新台幣1,000,000,000元乙案，業經金融監督管理委員會114年11月19日\n金管證發字第11403625692號函同意申報生效在案。\n(2)為尋求最佳發行時點並順利完成資金募集，以維護股東權益，向金融監督管理\n委員會申請展延資金募集期間三個月，業經金融監督管理委員會115年1月22日\n金管證發字第1150331663號函准予備查在案，募集期間延長至115年5月18日。\n6.因應措施:無\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""main"": ""序號"", ""sub"": []}, {""main"": ""發言日期"", ""sub"": []}, {""main"": ""發言時間"", ""sub"": []}, {""main"": ""發言人"", ""sub"": []}, {""main"": ""發言人職稱"", ""sub"": []}, {""main"": ""發言人電話"", ""sub"": []}, {""main"": ""主旨"", ""sub"": []}, {""main"": ""符合條款"", ""sub"": []}, {""main"": ""事實發生日"", ""sub"": []}, {""main"": ""說明"", ""sub"": []}], ""companyAbbreviation"": ""定穎投控""}, ""datetime"": ""115/01/26 18:25:27""}",2026-01-26 18:25:15
1150126|sii|5608|1,115/01/26,15:19:02,5608,四維航,本公司修訂「國內第六次有擔保轉換公司債發行及轉換辦法」之債權人異議期間屆滿公告,公司債,1150126,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""5608"", ""data"": [[1, ""115/01/26"", ""15:19:02"", ""許綱倫"", ""財務長"", ""02-87121888"", ""本公司修訂「國內第六次有擔保轉換公司債發行及轉換辦法」\r\n之債權人異議期間屆滿公告"", ""51"", ""115/01/26"", ""1.事實發生日:115/01/26\n2.公司名稱:四維航業股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:無\n5.發生緣由:\n依本公司114年12月23日修訂「國內第六次有擔保轉換公司債發行及轉換辦法」之債權\n人公告，訂定債權人異議期間自114年12月23日至115年1月23日止。\n6.因應措施:\n(1)截至115年1月23日止，債權人異議期間已屆滿三十日，且無債權人提出異議聲明。\n(2)本公司將依照公司法第248條第4項規定，將修訂後「國內第六次有擔保轉換公司債\n發行及轉換辦法」呈奉證券主管機管申報核准。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""main"": ""序號"", ""sub"": []}, {""main"": ""發言日期"", ""sub"": []}, {""main"": ""發言時間"", ""sub"": []}, {""main"": ""發言人"", ""sub"": []}, {""main"": ""發言人職稱"", ""sub"": []}, {""main"": ""發言人電話"", ""sub"": []}, {""main"": ""主旨"", ""sub"": []}, {""main"": ""符合條款"", ""sub"": []}, {""main"": ""事實發生日"", ""sub"": []}, {""main"": ""說明"", ""sub"": []}], ""companyAbbreviation"": ""四維航""}, ""datetime"": ""115/01/26 18:25:27""}",2026-01-26 18:25:15
1150126|sii|5608|2,115/01/26,15:19:47,5608,四維航,本公司修訂「國內第七次有擔保轉換公司債發行及轉換辦法」之債權人異議期間屆滿公告,公司債,1150126,sii,2,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""5608"", ""data"": [[2, ""115/01/26"", ""15:19:47"", ""許綱倫"", ""財務長"", ""02-87121888"", ""本公司修訂「國內第七次有擔保轉換公司債發行及轉換辦法」\r\n之債權人異議期間屆滿公告"", ""51"", ""115/01/26"", ""1.事實發生日:115/01/26\n2.公司名稱:四維航業股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:無\n5.發生緣由:\n依本公司114年12月23日修訂「國內第七次有擔保轉換公司債發行及轉換辦法」之債權\n人公告，訂定債權人異議期間自114年12月23日至115年1月23日止。\n6.因應措施:\n(1)截至115年1月23日止，債權人異議期間已屆滿三十日，且無債權人提出異議聲明。\n(2)本公司將依照公司法第248條第4項規定，將修訂後「國內第七次有擔保轉換公司債\n發行及轉換辦法」呈奉證券主管機管申報核准。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""main"": ""序號"", ""sub"": []}, {""main"": ""發言日期"", ""sub"": []}, {""main"": ""發言時間"", ""sub"": []}, {""main"": ""發言人"", ""sub"": []}, {""main"": ""發言人職稱"", ""sub"": []}, {""main"": ""發言人電話"", ""sub"": []}, {""main"": ""主旨"", ""sub"": []}, {""main"": ""符合條款"", ""sub"": []}, {""main"": ""事實發生日"", ""sub"": []}, {""main"": ""說明"", ""sub"": []}], ""companyAbbreviation"": ""四維航""}, ""datetime"": ""115/01/26 18:25:28""}",2026-01-26 18:25:15
1150126|sii|1438|1,115/01/26,15:35:35,1438,三地開發,公告本公司修訂「國內第一次有擔保轉換公司債發行及轉換辦法」業經金融監督管理委員會核准,公司債,1150126,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""1438"", ""data"": [[1, ""115/01/26"", ""15:35:35"", ""鍾育霖"", ""董事長"", ""(07)2259599"", ""公告本公司修訂「國內第一次有擔保轉換公司債發行及轉\r\n換辦法」業經金融監督管理委員會核准"", ""51"", ""115/01/26"", ""1.事實發生日:115/01/26\n2.公司名稱:三地開發地產股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:\n本公司依據金融監督管理委員會114年05月05日金管證發字第1140382105號函規定，\n修訂「國內第一次有擔保轉換公司債發行及轉換辦法」案，業經金融監督管理委員會\n115年01月26日金管證發字第1150130874號函同意備查。\n6.因應措施:無\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n修訂後完整之「國內第一次有擔保轉換公司債發行及轉換辦法」，請至公開資訊觀\n測站「債券發行資訊查詢」。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""main"": ""序號"", ""sub"": []}, {""main"": ""發言日期"", ""sub"": []}, {""main"": ""發言時間"", ""sub"": []}, {""main"": ""發言人"", ""sub"": []}, {""main"": ""發言人職稱"", ""sub"": []}, {""main"": ""發言人電話"", ""sub"": []}, {""main"": ""主旨"", ""sub"": []}, {""main"": ""符合條款"", ""sub"": []}, {""main"": ""事實發生日"", ""sub"": []}, {""main"": ""說明"", ""sub"": []}], ""companyAbbreviation"": ""三地開發""}, ""datetime"": ""115/01/26 18:25:29""}",2026-01-26 18:25:15
1150126|sii|6949|1,115/01/26,15:44:30,6949,沛爾生醫-創,本公司114年現金增資催繳期間屆滿暨股票發放事宜,現金增資,1150126,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""6949"", ""data"": [[1, ""115/01/26"", ""15:44:30"", ""宋明潭"", ""幕僚長"", ""02-87911789"", ""本公司114年現金增資催繳期間屆滿暨股票發放事宜"", ""51"", ""115/01/26"", ""1.事實發生日:115/01/26\n2.公司名稱:沛爾生技醫藥股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:本公司114年現金增資原股東及員工認股股款繳納催繳期間\n自114年12月26日至115年01月26日下午3時30分止。\n6.因應措施:\n(1)未於催繳期間繳納股款之股東及員工，自115年01月26日下午3時30分\n停止繳納並喪失其權利。\n(2)於催繳期間繳款之股東及員工，本公司將於催繳期間屆滿並經集保結算所作業\n後，依所認購之股數，撥入所登記之集保帳號。\n(3)若有任何疑問，請洽詢本公司股務代理機構：凱基證券股份有限公司\n股務代理部(台北市重慶南路一段2號5樓，電話：02-23892999)。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""main"": ""序號"", ""sub"": []}, {""main"": ""發言日期"", ""sub"": []}, {""main"": ""發言時間"", ""sub"": []}, {""main"": ""發言人"", ""sub"": []}, {""main"": ""發言人職稱"", ""sub"": []}, {""main"": ""發言人電話"", ""sub"": []}, {""main"": ""主旨"", ""sub"": []}, {""main"": ""符合條款"", ""sub"": []}, {""main"": ""事實發生日"", ""sub"": []}, {""main"": ""說明"", ""sub"": []}], ""companyAbbreviation"": ""沛爾生醫-創""}, ""datetime"": ""115/01/26 18:25:30""}",2026-01-26 18:25:15
1150126|sii|4919|1,115/01/26,16:28:13,4919,新唐,代重要子公司NuvotonTechnologyCorporationJapan公告資本支出預算案,資本支出,1150126,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""4919"", ""data"": [[1, ""115/01/26"", ""16:28:13"", ""賴秀芬"", ""副總經理"", ""(03)5770066"", ""代重要子公司Nuvoton Technology Corporation Japan\r\n公告資本支出預算案"", ""15"", ""115/01/26"", ""1.董事會或股東會決議日期:115/01/26\n2.投資計畫內容:資本支出預算日幣約53億元，主要用於：\n(1) 生產設備\n(2) 研發設備\n3.預計投資金額:請參見投資計畫內容\n4.預計投資日期:預計自115年4月起陸續投資\n5.資金來源:自有資金及銀行融資\n6.具體目的:請參見投資計畫內容\n7.其他應敘明事項:無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""main"": ""序號"", ""sub"": []}, {""main"": ""發言日期"", ""sub"": []}, {""main"": ""發言時間"", ""sub"": []}, {""main"": ""發言人"", ""sub"": []}, {""main"": ""發言人職稱"", ""sub"": []}, {""main"": ""發言人電話"", ""sub"": []}, {""main"": ""主旨"", ""sub"": []}, {""main"": ""符合條款"", ""sub"": []}, {""main"": ""事實發生日"", ""sub"": []}, {""main"": ""說明"", ""sub"": []}], ""companyAbbreviation"": ""新唐""}, ""datetime"": ""115/01/26 18:25:31""}",2026-01-26 18:25:15
1150126|sii|6672|1,115/01/26,16:32:55,6672,騰輝電子-KY,本公司發行中華民國境內第一次無擔保轉換公司債已依中國證監會發布之「境內企業境外發行證券和上市管理試行辦法」進行備案,公司債,1150126,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""6672"", ""data"": [[1, ""115/01/26"", ""16:32:55"", ""杜喬葦"", ""財務長"", ""0905119519"", ""本公司發行中華民國境內第一次無擔保轉換公司債已依\r\n中國證監會發布之「境內企業境外發行證券和上市管理試行\r\n辦法」進行備案"", ""51"", ""115/01/26"", ""1.事實發生日:115/01/26\n2.公司名稱: 騰輝電子國際集團股份有限公司\n3.與公司關係(請輸入本公司或子公司): 本公司\n4.相互持股比例: 不適用\n5.發生緣由: 因應中國證券監督管理委員會發布之「境內企業境外發行證券和上市　\n管理試行辦法」(以下稱「試行辦法」)辦理。\n6.因應措施: 本公司因發行中華民國境內第一次無擔保轉換公司債，依試行辦法之\n規定，已於115/01/26向中國證監會進行備案。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""main"": ""序號"", ""sub"": []}, {""main"": ""發言日期"", ""sub"": []}, {""main"": ""發言時間"", ""sub"": []}, {""main"": ""發言人"", ""sub"": []}, {""main"": ""發言人職稱"", ""sub"": []}, {""main"": ""發言人電話"", ""sub"": []}, {""main"": ""主旨"", ""sub"": []}, {""main"": ""符合條款"", ""sub"": []}, {""main"": ""事實發生日"", ""sub"": []}, {""main"": ""說明"", ""sub"": []}], ""companyAbbreviation"": ""騰輝電子-KY""}, ""datetime"": ""115/01/26 18:25:31""}",2026-01-26 18:25:15
